2025/3/21	"17:53:55,"	"23.9,"	"55.0,"	"250.00, 0.22, 654, 24.21"
2025/3/21	"17:58:09,"	"23.7,"	"55.4,"	"238.33, 0.22, 669, 24.21"
2025/3/21	"18:03:08,"	"23.8,"	"55.4,"	"235.83, 0.23, 665, 24.21"
2025/3/21	"18:09:04,"	"23.9,"	"54.7,"	"157.50, 0.24, 642, 24.22"
2025/3/21	"18:10:21,"	"24.1,"	"56.2,"	"33.33, 0.22, 652, 16.96"
2025/3/28	"16:59:24,"	"23.8,"	"55.0,"	"296.67, 0.23, 641, 24.22"
2025/3/28	"17:04:24,"	"24.1,"	"54.9,"	"295.83, 0.28, 684, 24.23"
2025/3/28	"17:09:24,"	"24.1,"	"55.1,"	"293.33, 0.23, 705, 24.23"
2025/3/28	"17:14:24,"	"24.1,"	"55.2,"	"295.00, 0.27, 729, 24.23"
2025/3/28	"17:19:24,"	"24.0,"	"54.8,"	"295.00, 0.31, 760, 24.23"
2025/3/28	"17:24:24,"	"23.8,"	"55.1,"	"293.33, 0.37, 785, 24.23"
2025/3/28	"17:29:24,"	"23.8,"	"55.2,"	"294.17, 0.24, 821, 24.23"
2025/3/30	"23:41:24,"	"20.1,"	"61.0,"	"0.00, 0.25, 470, 24.04"
2025/3/30	"23:46:24,"	"20.1,"	"61.1,"	"0.00, 0.25, 409, 24.04"
2025/3/30	"23:51:24,"	"20.1,"	"61.1,"	"0.00, 0.25, 413, 24.05"
2025/3/30	"23:56:24,"	"20.2,"	"61.2,"	"0.00, 0.25, 403, 24.05"
2025/3/31	"00:01:24,"	"20.2,"	"61.4,"	"0.00, 0.25, 409, 24.05"
2025/3/31	"00:06:24,"	"20.2,"	"61.2,"	"0.00, 0.25, 400, 24.06"
2025/3/31	"00:11:24,"	"20.2,"	"61.1,"	"0.00, 0.25, 396, 24.07"
2025/3/31	"00:16:24,"	"20.2,"	"60.9,"	"0.00, 0.25, 404, 24.07"
2025/3/31	"00:21:24,"	"20.2,"	"60.7,"	"0.00, 0.25, 405, 24.08"
2025/3/31	"00:26:24,"	"20.1,"	"60.7,"	"0.00, 0.25, 402, 24.09"
2025/3/31	"00:31:24,"	"20.2,"	"60.5,"	"0.00, 0.25, 402, 24.09"
2025/3/31	"00:36:24,"	"20.2,"	"60.6,"	"0.00, 0.25, 408, 24.09"
2025/3/31	"00:41:24,"	"20.1,"	"60.7,"	"0.00, 0.25, 395, 24.10"
2025/3/31	"00:46:24,"	"20.1,"	"60.5,"	"0.00, 0.25, 409, 24.10"
2025/3/31	"00:51:24,"	"20.1,"	"60.6,"	"0.00, 0.26, 399, 24.11"
2025/3/31	"00:56:24,"	"20.1,"	"60.7,"	"0.00, 0.25, 402, 24.11"
2025/3/31	"01:01:24,"	"20.1,"	"60.6,"	"0.00, 0.25, 408, 24.11"
2025/3/31	"01:06:24,"	"20.2,"	"60.7,"	"0.00, 0.25, 408, 24.11"
2025/3/31	"01:11:24,"	"20.2,"	"60.8,"	"0.00, 0.26, 399, 24.11"
2025/3/31	"01:16:24,"	"20.1,"	"61.0,"	"0.00, 0.25, 412, 24.11"
2025/3/31	"01:21:24,"	"20.2,"	"61.0,"	"0.00, 0.25, 411, 24.11"
2025/3/31	"01:26:24,"	"20.2,"	"60.9,"	"0.00, 0.25, 403, 24.11"
2025/3/31	"01:31:24,"	"20.2,"	"61.0,"	"0.00, 0.26, 402, 24.11"
2025/3/31	"01:36:24,"	"20.2,"	"61.1,"	"0.00, 0.25, 406, 24.11"
2025/3/31	"01:41:24,"	"20.1,"	"61.3,"	"0.00, 0.26, 406, 24.11"
2025/3/31	"01:46:25,"	"20.2,"	"61.3,"	"0.00, 0.26, 398, 24.11"
2025/3/31	"01:51:25,"	"20.1,"	"61.3,"	"0.00, 0.25, 411, 24.10"
2025/3/31	"01:56:25,"	"20.1,"	"61.4,"	"0.00, 0.25, 406, 24.10"
2025/3/31	"02:01:25,"	"20.1,"	"61.5,"	"0.00, 0.25, 404, 24.11"
2025/3/31	"02:06:25,"	"20.1,"	"61.5,"	"0.00, 0.26, 406, 24.11"
2025/3/31	"02:11:25,"	"20.2,"	"61.5,"	"0.00, 0.26, 406, 24.11"
2025/3/31	"02:16:25,"	"20.1,"	"61.4,"	"0.00, 0.25, 409, 24.11"
2025/3/31	"02:21:25,"	"20.1,"	"61.4,"	"0.00, 0.25, 405, 24.11"
2025/3/31	"02:26:25,"	"20.1,"	"61.3,"	"0.00, 0.25, 412, 24.11"
2025/3/31	"02:31:25,"	"20.1,"	"61.3,"	"0.00, 0.25, 403, 24.11"
2025/3/31	"02:36:25,"	"20.2,"	"61.2,"	"0.00, 0.25, 402, 24.11"
2025/3/31	"02:41:25,"	"20.1,"	"61.3,"	"0.00, 0.25, 408, 24.11"
2025/3/31	"02:46:25,"	"20.1,"	"61.4,"	"0.00, 0.26, 406, 24.11"
2025/3/31	"02:51:25,"	"20.1,"	"61.4,"	"0.00, 0.25, 402, 24.10"
2025/3/31	"02:56:25,"	"20.1,"	"61.6,"	"0.00, 0.26, 405, 24.10"
2025/3/31	"03:01:25,"	"20.2,"	"61.5,"	"0.00, 0.25, 406, 24.10"
2025/3/31	"03:06:25,"	"20.2,"	"61.6,"	"0.00, 0.25, 397, 24.10"
2025/3/31	"03:11:25,"	"20.1,"	"61.6,"	"0.00, 0.25, 400, 24.10"
2025/3/31	"03:16:25,"	"20.1,"	"61.7,"	"0.00, 0.25, 400, 24.10"
2025/3/31	"03:21:25,"	"20.1,"	"61.7,"	"0.00, 0.25, 412, 24.10"
2025/3/31	"03:26:25,"	"20.0,"	"61.8,"	"0.00, 0.25, 395, 24.10"
2025/3/31	"03:31:25,"	"20.2,"	"61.8,"	"0.00, 0.26, 403, 24.10"
2025/3/31	"03:36:25,"	"20.1,"	"61.9,"	"0.00, 0.26, 406, 24.10"
2025/3/31	"03:41:25,"	"20.1,"	"62.0,"	"0.00, 0.26, 396, 24.10"
2025/3/31	"03:46:25,"	"20.1,"	"62.0,"	"0.00, 0.25, 407, 24.10"
2025/3/31	"03:51:25,"	"20.1,"	"62.1,"	"0.00, 0.25, 407, 24.10"
